Date,Open,High,Low,Close,Volume
2018-01-01,6800.0,7140.0,6800.0,6931.0,380
2018-01-11,7100.0,7200.0,7100.0,7200.0,40
2018-01-12,7200.0,7200.0,7200.0,7200.0,20
2018-01-17,6840.0,7250.0,6840.0,7250.0,40
2018-01-19,0.0,7200.0,0.0,7200.0,0
2018-01-31,7000.0,7000.0,7000.0,7000.0,20
2018-02-02,7000.1,7350.0,7000.1,7350.0,140
2018-02-06,7500.0,7717.0,7500.0,7717.0,200
2018-02-08,7530.0,7530.0,7501.0,7501.0,60
2018-02-12,7400.0,7400.0,7400.0,7400.0,60
2018-02-14,7300.0,7300.0,7300.0,7300.0,20
2018-02-16,7300.0,7300.0,7200.0,7200.0,40
2018-02-19,7000.0,7000.0,7000.0,7000.0,20
2018-02-20,7000.0,7000.0,7000.0,7000.0,300
2018-02-21,7000.0,7000.0,6900.0,6900.0,580
2018-02-26,6925.0,6925.0,6925.0,6925.0,20
2018-02-27,6995.0,7100.0,6995.0,7100.0,60
2018-02-28,7100.0,7100.0,7100.0,7100.0,100
2018-03-02,7100.0,7455.0,7100.0,7455.0,200
2018-03-05,7499.0,7599.0,7499.0,7599.0,60
2018-03-07,7699.0,7978.95,7500.0,7978.95,1160
2018-03-12,7800.0,7800.0,7800.0,7800.0,20
2018-03-13,7700.0,7700.0,7700.0,7700.0,20
2018-03-14,7800.0,7800.0,7750.0,7750.0,40
2018-03-15,7700.0,7700.0,7700.0,7700.0,20
2018-03-19,7750.0,7800.0,7750.0,7800.0,440
2018-03-28,7400.0,8058.0,7400.0,8058.0,320
2018-03-29,8100.0,8100.0,8100.0,8100.0,40
2018-03-30,8300.0,8300.0,8300.0,8300.0,300
2018-04-02,8300.0,8350.0,8100.0,8350.0,160
2018-04-03,0.0,8350.0,8350.0,8350.0,20
2018-04-04,8100.0,8350.0,8100.0,8350.0,100
2018-04-05,0.0,8350.0,8350.0,8350.0,20
2018-04-09,8400.0,8400.0,8400.0,8400.0,20
2018-04-16,8100.0,8100.0,8100.0,8100.0,80
2018-04-24,7910.0,7910.0,7900.0,7903.33,60
2018-04-25,7900.0,7900.0,7900.0,7900.0,20
2018-05-02,7750.0,7750.0,7750.0,7750.0,20
2018-05-03,7900.0,7900.0,7900.0,7900.0,20
2018-05-04,7920.0,7920.0,7900.0,7902.5,60
2018-05-08,8000.0,8100.0,8000.0,8100.0,40
2018-05-09,7950.0,8505.0,7950.0,8307.92,340
2018-05-11,8200.0,8200.0,8200.0,8200.0,80
2018-05-14,8110.0,8110.0,8110.0,8110.0,20
2018-05-15,8200.0,8200.0,8200.0,8200.0,20
2018-05-24,8000.0,8000.0,8000.0,8000.0,20
2018-05-28,7800.0,8398.0,7800.0,8398.0,160
2018-05-29,8814.0,8814.0,8000.0,8050.0,140
2018-05-31,7811.0,7900.0,7811.0,7900.0,60
2018-06-01,7900.0,7900.0,7900.0,7900.0,20
2018-06-04,7800.0,8198.0,7800.0,8198.0,140
2018-06-05,8607.89,8607.89,8607.89,8607.89,3040
2018-06-06,8177.5,8177.5,8177.5,8177.5,40
2018-06-11,8177.0,8586.37,7800.0,7853.33,240
2018-06-12,8198.0,8198.0,8198.0,8198.0,20
2018-06-13,8607.89,8607.89,7811.0,7998.0,60
2018-06-14,8397.89,8397.89,7800.0,7800.0,80
2018-06-19,8189.99,8189.99,7800.0,7802.5,100
2018-06-22,8192.61,8192.61,7412.38,7425.6,160
2018-06-25,7750.0,7750.0,7750.0,7750.0,3020
2018-06-27,7750.0,8000.0,7750.0,7801.0,180
2018-06-29,8000.0,8002.0,7410.95,7650.0,560
2018-07-02,7650.0,7999.0,7650.0,7990.0,180
2018-07-04,8350.0,8350.0,8350.0,8350.0,20
2018-07-10,7932.5,7932.5,7932.5,7932.5,100
2018-07-18,0.0,7932.5,7932.5,7932.5,240
2018-07-20,8300.0,8300.0,7561.0,7562.0,180
2018-07-23,7940.1,7940.1,7940.1,7940.1,20
2018-07-24,8200.0,8200.0,8200.0,8200.0,100
2018-07-31,8199.0,8199.0,8199.0,8199.0,20
2018-08-03,7790.0,7899.0,7789.05,7790.0,280
2018-08-06,7899.0,7899.0,7899.0,7899.0,20
2018-08-07,7998.0,7998.0,7899.0,7969.0,60
2018-08-08,8047.0,8047.0,8047.0,8047.0,20
2018-08-13,8199.0,8199.0,7644.66,7725.0,120
2018-08-15,7725.0,7725.0,7725.0,7725.0,20
