Date,Open,High,Low,Close,Volume
2018-01-01,188.0,188.0,178.0,180.59,60000
2018-01-02,176.1,189.61,176.1,189.61,181600
2018-01-03,196.0,199.0,183.0,191.19,320700
2018-01-04,191.1,193.98,186.05,189.08,169300
2018-01-05,193.5,193.5,187.6,189.01,112400
2018-01-08,188.05,196.3,188.05,191.54,120000
2018-01-09,194.5,194.5,185.0,186.65,77300
2018-01-10,185.0,191.5,185.0,188.61,74800
2018-01-11,188.0,188.5,179.63,180.44,99300
2018-01-12,178.0,181.0,171.42,171.42,120200
2018-01-15,165.5,177.69,163.05,164.68,203800
2018-01-16,167.0,169.5,164.7,165.14,148900
2018-01-17,165.0,173.39,164.0,173.39,108900
2018-01-18,180.11,182.05,172.5,178.84,317900
2018-01-19,177.11,185.0,177.11,182.81,233400
2018-01-22,183.9,183.99,178.05,179.05,164900
2018-01-23,179.9,180.0,177.0,178.28,86200
2018-01-24,178.0,181.89,175.0,176.96,148000
2018-01-25,175.8,178.0,174.0,175.44,45300
2018-01-26,176.0,177.0,174.0,174.28,65000
2018-01-29,174.28,182.99,174.28,182.99,187900
2018-01-30,186.0,187.5,175.0,177.51,284400
2018-01-31,178.01,181.0,178.0,179.28,99400
2018-02-01,179.0,188.24,178.7,183.52,361100
2018-02-02,186.25,190.0,185.0,186.54,259700
2018-02-06,184.01,195.86,182.01,193.3,438400
2018-02-07,199.4,199.4,186.0,187.99,553500
2018-02-08,187.0,187.6,182.55,184.28,152200
2018-02-09,182.35,184.65,181.0,182.65,115300
2018-02-12,182.3,186.9,182.3,183.31,75000
2018-02-13,183.51,186.59,180.05,181.6,139400
2018-02-14,182.12,182.12,174.5,175.16,127400
2018-02-15,176.0,177.47,171.0,172.1,59500
2018-02-16,173.9,177.0,172.1,175.06,34300
2018-02-19,174.98,177.5,172.45,173.61,32900
2018-02-20,173.2,173.6,169.15,171.68,25900
2018-02-21,175.5,177.0,171.3,172.16,34100
2018-02-22,170.0,174.97,168.01,173.7,22300
2018-02-23,175.0,180.5,171.5,173.11,132100
2018-02-26,174.0,175.99,169.0,170.22,42800
2018-02-27,168.55,178.73,167.3,177.35,77000
2018-02-28,185.99,186.21,184.0,186.21,98800
2018-03-01,190.0,195.52,190.0,195.52,154400
2018-03-02,199.0,205.29,191.1,204.18,669600
2018-03-05,207.0,214.0,202.0,211.93,848500
2018-03-06,213.01,215.0,201.34,202.94,676800
2018-03-07,202.25,206.5,199.0,202.52,314300
2018-03-08,201.0,204.9,198.5,200.46,40100
2018-03-09,204.99,205.0,196.01,197.13,34400
2018-03-12,195.5,203.5,193.05,197.81,27700
2018-03-13,197.0,201.99,196.15,196.97,29900
2018-03-14,196.0,196.75,188.0,190.35,73800
2018-03-15,191.0,192.5,190.9,191.4,19000
2018-03-16,192.0,196.92,187.5,188.06,150200
2018-03-19,188.9,194.25,188.3,191.62,47700
2018-03-20,194.75,194.75,189.5,190.18,23800
2018-03-21,192.85,199.68,189.4,199.68,137800
2018-03-22,204.9,206.37,199.0,200.28,157200
2018-03-26,200.0,210.29,197.7,210.29,181800
2018-03-27,219.0,220.8,213.99,220.8,366500
2018-03-28,220.45,231.84,216.11,231.37,511500
2018-03-29,236.5,242.93,236.5,242.93,148900
2018-03-30,254.0,255.07,249.0,254.88,200200
2018-04-02,260.0,263.9,245.0,247.04,227600
2018-04-03,245.0,259.39,242.1,255.82,443500
2018-04-04,255.01,260.0,250.1,252.15,88500
2018-04-05,253.55,259.0,250.0,253.14,60300
2018-04-06,255.0,256.9,245.0,246.96,87900
2018-04-09,246.1,251.9,245.0,247.84,33700
2018-04-10,250.0,250.0,244.0,245.06,35500
2018-04-11,248.0,251.0,245.6,246.02,65200
2018-04-12,243.5,247.4,236.1,244.45,70400
2018-04-13,243.5,256.65,242.51,255.03,210900
2018-04-16,256.0,260.0,242.29,243.43,160200
2018-04-17,241.0,247.49,240.0,241.29,66300
2018-04-18,242.25,249.45,235.5,239.36,405800
2018-04-19,238.9,242.0,227.4,235.95,186300
2018-04-20,234.0,247.5,229.99,243.18,138900
2018-04-23,243.0,255.33,241.5,255.33,272800
2018-04-24,260.0,263.0,242.57,247.61,379900
2018-04-25,254.0,258.99,244.0,254.05,230300
2018-04-26,252.0,257.99,244.0,246.03,47100
2018-04-27,246.55,255.11,243.2,250.38,97400
2018-04-30,257.49,257.49,247.0,248.98,60900
2018-05-02,246.0,248.0,246.0,246.98,14500
2018-05-03,245.5,246.0,241.0,242.6,27000
2018-05-04,241.54,252.73,241.1,248.76,71400
2018-05-07,250.0,259.9,249.0,253.89,144800
2018-05-08,251.0,254.24,248.0,249.22,156300
2018-05-09,252.59,257.97,241.0,253.0,109800
2018-05-10,253.5,259.65,252.25,254.79,65400
2018-05-11,255.0,255.0,251.75,253.85,19900
2018-05-14,245.6,251.0,242.0,243.21,23900
2018-05-15,239.0,255.37,236.15,252.9,57700
2018-05-16,251.02,257.96,251.02,256.68,39900
2018-05-17,253.0,254.5,252.0,252.63,3700
2018-05-18,252.1,252.1,245.0,248.62,7800
2018-05-21,250.0,251.5,248.0,248.61,6100
2018-05-22,249.98,257.0,249.0,254.6,40800
2018-05-23,256.55,261.9,254.0,258.81,382100
2018-05-24,256.0,265.9,254.93,260.85,75200
2018-05-25,258.0,265.63,257.0,263.94,35000
2018-05-28,263.0,271.9,262.25,267.27,52800
2018-05-29,269.95,272.8,265.3,268.96,31200
2018-05-30,270.0,270.0,264.93,265.55,17400
2018-05-31,267.99,267.99,258.0,263.82,8200
2018-06-01,260.2,268.5,260.2,265.77,64600
2018-06-04,263.01,263.1,262.25,263.1,1500
2018-06-05,262.2,263.13,260.0,261.21,11600
2018-06-06,261.0,263.13,258.1,260.21,43800
2018-06-07,260.0,263.0,252.01,254.83,33400
2018-06-11,252.0,261.72,246.0,259.65,63800
2018-06-12,256.0,256.0,249.0,249.94,15600
2018-06-13,250.0,255.0,247.0,251.54,21000
2018-06-14,248.52,252.95,248.52,251.46,700
2018-06-19,250.3,264.03,249.0,263.87,70400
2018-06-20,265.0,272.0,259.91,262.37,131400
2018-06-21,260.05,264.5,256.6,262.53,119500
2018-06-22,262.0,267.0,260.0,260.35,100900
2018-06-25,257.0,259.5,251.1,252.67,22700
2018-06-26,255.0,265.3,255.0,264.19,61000
2018-06-27,269.0,277.39,266.0,276.77,92100
2018-06-28,280.0,290.6,280.0,284.92,87000
2018-06-29,290.0,290.0,280.5,284.98,12800
2018-07-02,282.0,289.9,281.25,287.99,10300
2018-07-03,289.98,291.0,283.5,285.38,5600
2018-07-04,280.0,280.0,272.0,273.76,16200
2018-07-05,278.0,279.0,271.05,275.51,6600
2018-07-06,277.5,285.9,271.2,282.63,32300
