Date,Open,High,Low,Close,Volume
2018-01-01,24.0,24.0,24.0,24.0,500
2018-01-02,23.0,23.1,23.0,23.1,6000
2018-01-03,23.1,23.1,23.1,23.1,500
2018-01-04,22.85,23.1,22.5,23.1,3000
2018-01-05,23.44,23.44,23.44,23.44,500
2018-01-08,23.7,23.7,23.7,23.7,2500
2018-01-10,23.55,23.55,23.55,23.55,4000
2018-01-11,22.5,22.5,22.5,22.5,1500
2018-01-12,22.5,22.51,22.5,22.51,1500
2018-01-16,22.0,22.1,22.0,22.05,2500
2018-01-19,21.05,22.0,20.95,21.9,11500
2018-01-22,21.61,22.99,21.61,22.99,27500
2018-01-24,22.95,24.13,22.95,24.13,21000
2018-01-25,25.29,25.33,24.0,25.3,29500
2018-01-26,24.31,26.46,24.3,24.48,18500
2018-01-29,25.5,25.7,25.5,25.7,130500
2018-01-30,26.0,26.8,26.0,26.0,17500
2018-01-31,26.4,26.4,26.4,26.4,500
2018-02-01,25.11,26.99,25.11,25.99,3000
2018-02-02,24.71,25.34,24.71,24.96,5500
2018-02-06,24.01,24.3,24.01,24.3,1000
2018-02-07,24.99,24.99,24.99,24.99,500
2018-02-08,24.01,24.02,24.0,24.02,2000
2018-02-13,24.0,24.7,23.0,24.05,12000
2018-02-14,25.0,25.0,24.0,24.0,1000
2018-02-16,22.8,25.2,22.8,24.88,13500
2018-02-19,24.5,24.5,24.0,24.0,9500
2018-02-20,23.75,24.0,23.75,23.88,1000
2018-02-23,24.02,24.02,24.0,24.0,1000
2018-02-26,24.32,24.32,24.32,24.32,500
2018-02-27,24.0,24.2,23.5,24.2,10500
2018-02-28,23.26,24.0,23.25,24.0,1500
2018-03-02,24.18,24.2,24.18,24.19,1500
2018-03-06,23.41,23.41,23.25,23.26,10500
2018-03-07,23.5,23.5,23.5,23.5,500
2018-03-09,23.25,24.0,23.25,24.0,13500
2018-03-12,23.25,23.75,23.25,23.75,2500
2018-03-14,23.74,23.74,23.69,23.69,4000
2018-03-15,0.0,23.69,23.69,23.69,100000
2018-03-16,24.09,24.87,23.75,24.7,73000
2018-03-19,24.5,24.5,24.5,24.5,5000
2018-03-20,24.25,24.25,24.25,24.25,1000
2018-03-21,24.5,25.2,24.5,25.18,8000
2018-03-22,25.0,25.0,25.0,25.0,1000
2018-03-26,25.0,25.51,25.0,25.51,24500
2018-03-27,25.5,26.24,25.5,26.24,21500
2018-03-28,25.5,27.55,25.5,27.11,29000
2018-03-29,26.0,26.0,25.55,25.55,5000
2018-03-30,26.5,26.8,26.5,26.7,12500
2018-04-02,25.37,27.9,25.37,25.4,13000
2018-04-03,24.26,25.0,24.15,24.25,8000
2018-04-04,24.01,24.9,24.0,24.49,9500
2018-04-05,24.3,24.75,24.2,24.43,12000
2018-04-06,24.2,25.65,24.2,25.25,9000
2018-04-09,24.75,24.75,24.75,24.75,2500
2018-04-10,24.5,24.5,24.5,24.5,2000
2018-04-11,24.25,24.25,24.25,24.25,500
2018-04-12,24.7,24.7,24.49,24.5,7000
2018-04-13,24.0,24.49,24.0,24.49,3500
2018-04-16,24.0,24.1,24.0,24.0,10500
2018-04-17,24.22,24.25,24.22,24.25,5500
2018-04-18,24.0,24.0,24.0,24.0,5500
2018-04-19,24.0,24.0,24.0,24.0,500
2018-04-20,25.15,25.15,24.95,24.95,1500
2018-04-24,24.25,24.25,24.25,24.25,2500
2018-04-25,24.25,24.5,24.25,24.25,4000
2018-04-26,24.0,24.1,24.0,24.1,3000
2018-04-30,24.25,24.25,24.1,24.1,10000
2018-05-02,24.25,24.25,24.25,24.25,5000
2018-05-03,24.19,24.19,24.19,24.19,5000
2018-05-04,24.0,24.0,24.0,24.0,5500
2018-05-07,24.0,24.2,23.7,24.2,15500
2018-05-08,24.0,24.0,24.0,24.0,5500
2018-05-09,24.0,24.0,23.75,23.75,10500
2018-05-10,24.0,24.05,24.0,24.02,4500
2018-05-14,24.25,24.25,23.5,23.5,1000
2018-05-15,22.8,23.01,22.8,23.01,1500
2018-05-16,0.0,23.01,23.01,23.01,7000
2018-05-18,23.25,23.25,23.25,23.25,7500
2018-05-21,0.0,23.25,23.25,23.25,7000
2018-05-22,0.0,23.25,23.25,23.25,7000
2018-05-23,24.4,24.4,24.4,24.4,7500
2018-05-24,0.0,24.4,24.4,24.4,7000
2018-05-25,23.91,24.0,23.91,23.98,2500
2018-05-28,0.0,23.98,23.98,23.98,7000
2018-05-29,0.0,23.98,23.98,23.98,7000
2018-05-30,23.12,24.75,23.12,24.75,7500
2018-05-31,0.0,24.75,24.75,24.75,500
2018-06-04,24.0,24.0,24.0,24.0,2000
2018-06-05,24.0,24.0,23.6,23.6,7500
2018-06-06,23.11,24.0,23.1,23.8,14500
2018-06-12,23.99,23.99,23.0,23.01,3500
2018-06-13,24.14,24.14,24.14,24.14,500
2018-06-20,0.0,24.14,24.14,24.14,2500
2018-06-21,23.0,23.05,23.0,23.05,2500
2018-06-22,23.0,23.0,22.06,22.06,5500
2018-06-25,22.8,22.8,22.8,22.8,500
2018-06-26,23.5,23.94,23.5,23.89,10000
2018-06-27,22.85,22.87,22.85,22.87,5000
2018-06-29,23.89,24.0,23.89,23.98,11000
2018-07-02,22.82,22.95,22.79,22.95,6000
2018-07-05,23.0,23.0,23.0,23.0,1500
2018-07-06,23.0,23.0,23.0,23.0,500
2018-07-09,22.5,23.79,22.5,23.79,1000
2018-07-12,23.0,23.0,23.0,23.0,1000
2018-07-13,23.11,24.15,23.11,24.06,17000
2018-07-16,24.0,24.0,23.1,23.1,5000
2018-07-17,23.99,24.0,23.9,24.0,11000
2018-07-19,24.0,24.5,23.51,23.52,14500
2018-07-20,22.61,24.68,22.61,24.01,4000
2018-07-23,24.0,24.0,24.0,24.0,1000
2018-07-26,24.0,24.0,24.0,24.0,11500
2018-07-30,24.0,24.2,24.0,24.05,7500
2018-08-02,23.12,23.12,23.11,23.11,7500
2018-08-06,23.79,23.8,23.79,23.8,2500
2018-08-07,23.5,23.51,23.5,23.51,2000
2018-08-10,23.5,23.5,23.5,23.5,2500
2018-08-13,23.0,23.1,23.0,23.1,2000
2018-08-15,0.0,23.1,23.1,23.1,144000
2018-08-16,23.0,23.0,23.0,23.0,1000
2018-08-20,23.01,23.89,23.0,23.89,9500
2018-08-27,23.98,24.1,23.98,24.1,5000
2018-08-28,23.52,23.52,23.52,23.52,2000
2018-08-30,23.5,23.5,23.5,23.5,500
2018-08-31,23.01,23.01,23.0,23.0,1500
2018-09-03,0.0,23.0,23.0,23.0,10500
2018-09-04,23.5,23.5,23.5,23.5,500
2018-09-06,23.0,23.0,23.0,23.0,5500
2018-09-07,23.1,23.1,23.1,23.1,1000
2018-09-11,23.1,23.4,23.1,23.23,10000
2018-09-13,22.99,23.0,22.99,23.0,3500
2018-09-14,22.5,22.5,22.5,22.5,1000
2018-09-18,23.0,23.0,23.0,23.0,10000
2018-09-24,22.11,23.0,22.1,23.0,1500
2018-09-25,22.99,22.99,22.99,22.99,500
2018-09-26,23.99,23.99,23.99,23.99,500
2018-09-27,22.85,22.85,22.85,22.85,4000
2018-09-28,22.5,22.5,22.5,22.5,500
2018-10-01,23.6,23.6,23.6,23.6,1500
2018-10-02,23.0,23.0,23.0,23.0,1000
2018-10-03,23.0,23.0,22.1,22.93,49000
2018-10-04,22.5,22.5,22.5,22.5,500
2018-10-08,22.0,22.0,21.62,21.62,5500
2018-10-09,22.7,22.7,22.7,22.7,500
2018-10-10,22.25,22.25,21.91,21.96,5500
2018-10-11,21.6,22.6,21.6,22.6,3500
2018-10-12,22.0,23.7,22.0,23.55,14000
2018-10-15,22.75,22.75,22.42,22.42,1500
2018-10-18,23.14,23.2,23.14,23.2,5500
2018-10-23,24.1,24.3,23.0,23.0,43500
2018-10-24,23.01,23.01,23.0,23.0,10000
2018-10-25,23.0,23.0,22.0,22.0,6000
2018-10-26,23.1,23.1,23.1,23.1,3500
2018-10-29,24.0,24.25,24.0,24.25,172000
2018-10-30,25.0,25.0,23.6,23.61,8000
2018-10-31,23.65,24.0,23.65,24.0,3000
2018-11-05,23.5,23.5,23.5,23.5,1000
2018-11-09,24.59,24.59,24.59,24.59,1000
2018-11-12,24.5,24.5,24.5,24.5,500
2018-11-14,24.15,24.15,24.15,24.15,50000
2018-11-15,24.9,24.9,24.9,24.9,1000
2018-11-16,25.0,25.0,25.0,25.0,13000
2018-11-19,24.1,24.99,24.0,24.54,12000
2018-11-23,23.36,25.76,23.36,25.34,18500
2018-11-27,24.5,25.9,24.5,25.41,15000
2018-11-28,25.35,25.35,25.35,25.35,500
2018-11-30,25.4,25.4,25.4,25.4,2500
2018-12-03,25.3,26.67,25.3,25.96,108000
2018-12-04,26.1,26.1,25.5,25.59,15500
2018-12-05,25.99,26.69,25.99,26.3,39500
2018-12-06,25.5,25.7,25.37,25.69,8500
2018-12-07,25.07,26.97,25.07,26.61,65500
2018-12-10,25.3,26.5,25.3,25.75,9000
2018-12-11,26.0,26.0,25.0,25.99,2913000
2018-12-12,24.76,24.76,24.76,24.76,9500
2018-12-13,25.35,25.99,25.0,25.33,1634500
2018-12-14,26.3,26.3,25.01,25.44,36500
2018-12-19,25.01,25.01,25.01,25.01,5000
2018-12-20,25.0,25.55,24.19,25.05,30000
2018-12-21,25.1,25.1,25.0,25.0,11000
2018-12-24,24.5,24.5,24.5,24.5,500
2018-12-27,24.26,24.26,24.12,24.12,2500
2019-01-01,25.0,25.0,23.31,24.17,7000
2019-01-04,23.1,25.29,23.0,24.88,11000
2019-01-07,24.3,25.0,24.3,25.0,1000
2019-01-14,25.5,26.25,25.5,25.78,5000
2019-01-15,24.6,25.0,24.5,24.51,142000
2019-01-16,24.06,24.5,24.06,24.5,2000
2019-01-17,24.96,25.0,24.96,24.99,5000
2019-01-18,24.6,25.0,24.5,24.8,13500
2019-01-21,24.9,24.97,24.08,24.25,3500
2019-01-22,24.0,24.5,23.5,24.06,146000
2019-01-23,23.62,24.0,23.5,23.97,1846000
2019-01-24,23.66,24.0,23.65,24.0,23000
2019-01-25,23.85,24.75,23.5,24.35,24000
2019-01-29,24.39,24.5,24.39,24.44,255000
2019-01-30,24.4,24.75,23.72,24.44,7000
2019-01-31,23.76,24.74,23.75,24.53,6500
2019-02-01,24.69,24.99,24.69,24.8,3500
2019-02-04,24.2,24.99,24.2,24.86,2000
2019-02-06,24.6,24.95,24.2,24.69,3500
2019-02-08,24.0,25.89,24.0,25.38,40000
2019-02-11,24.25,24.5,24.2,24.5,1500
2019-02-12,24.5,24.5,24.5,24.5,3000
2019-02-13,24.05,24.75,24.05,24.58,2000
2019-02-14,24.01,24.15,24.01,24.15,1500
2019-02-15,24.2,24.2,24.2,24.2,500
2019-02-18,0.0,24.2,24.2,24.2,10500
2019-02-19,24.0,24.0,24.0,24.0,500
2019-02-20,23.7,23.7,23.7,23.7,1000
2019-02-22,0.0,23.7,23.7,23.7,1500
2019-02-25,24.4,24.4,24.4,24.4,500
2019-02-26,24.35,24.35,24.35,24.35,16000
2019-02-27,24.0,24.35,23.62,24.32,18000
2019-02-28,24.5,24.5,24.5,24.5,12500
2019-03-01,24.5,24.51,24.5,24.5,9500
2019-03-04,24.8,24.98,24.7,24.98,29000
2019-03-05,24.75,24.76,24.6,24.6,8500
2019-03-06,24.3,24.74,24.3,24.74,1500
2019-03-07,24.0,24.89,24.0,24.7,20500
2019-03-08,24.5,24.5,24.5,24.5,2500
2019-03-11,24.5,24.5,24.0,24.39,3000
2019-03-12,24.0,24.39,23.75,24.14,28000
2019-03-13,24.0,24.0,24.0,24.0,6000
2019-03-14,24.01,24.01,24.0,24.0,3000
2019-03-15,24.0,24.5,24.0,24.5,5500
2019-03-18,24.0,24.0,23.85,23.85,2500
2019-03-19,24.94,24.94,24.0,24.51,651500
2019-03-20,23.4,23.4,23.4,23.4,642500
2019-03-21,23.2,23.2,23.2,23.2,500
2019-03-25,23.9,23.9,23.0,23.0,1000
2019-03-27,22.3,22.75,22.3,22.75,4000
2019-04-01,22.1,22.1,22.0,22.02,7000
2019-04-02,22.0,22.0,22.0,22.0,4000
2019-04-03,22.0,22.0,22.0,22.0,8500
2019-04-04,22.0,22.0,21.0,21.12,12000
2019-04-08,21.2,21.24,21.2,21.2,4500
2019-04-10,21.24,21.25,21.0,21.0,3500
2019-04-11,21.0,21.0,21.0,21.0,4500
2019-04-17,21.49,21.49,21.49,21.49,500
2019-04-18,21.9,21.9,21.0,21.0,4500
2019-04-19,21.0,21.5,21.0,21.4,6000
2019-04-22,20.91,20.91,20.75,20.8,3000
2019-04-23,21.65,21.65,20.8,20.8,1500
