Date,Open,High,Low,Close,Volume
2018-01-01,314.01,315.0,309.0,310.4,199300
2018-01-02,308.0,324.0,308.0,318.99,565400
2018-01-03,317.11,323.0,316.01,318.25,234900
2018-01-04,319.8,334.16,319.8,334.16,681300
2018-01-05,339.5,350.86,339.5,346.3,854000
2018-01-08,349.0,355.0,345.0,348.23,648300
2018-01-09,348.2,348.2,335.0,337.57,346600
2018-01-10,338.0,343.0,336.51,339.61,468100
2018-01-11,341.01,343.4,331.5,332.44,635100
2018-01-12,331.01,332.5,327.01,328.11,264400
2018-01-15,326.75,326.75,321.0,321.66,244200
2018-01-16,322.01,329.0,322.0,322.85,136200
2018-01-17,322.0,338.99,321.75,338.66,835100
2018-01-18,348.48,349.9,334.0,340.21,768900
2018-01-19,340.0,357.22,340.0,357.22,1093900
2018-01-22,364.0,375.08,362.0,372.03,1169800
2018-01-23,372.75,377.97,364.0,374.06,470400
2018-01-24,376.0,381.5,369.05,371.64,572300
2018-01-25,373.0,384.5,373.0,380.2,1036700
2018-01-26,380.0,383.0,376.0,377.22,419700
2018-01-29,377.0,377.2,365.65,371.19,434400
2018-01-30,378.0,383.75,374.0,379.34,631300
2018-01-31,382.0,383.98,378.0,378.73,342400
2018-02-01,380.5,393.79,379.0,389.41,1042000
2018-02-02,390.55,394.38,387.12,389.41,812600
2018-02-06,385.0,391.0,380.0,385.96,427200
2018-02-07,387.0,394.99,384.5,385.56,535000
2018-02-08,387.69,387.8,379.0,381.96,341100
2018-02-09,377.0,384.82,373.5,382.61,396000
2018-02-12,381.81,383.5,375.0,376.38,153800
2018-02-13,378.0,381.0,369.0,370.35,327800
2018-02-14,371.9,374.0,352.0,355.75,581500
2018-02-15,354.0,359.0,341.0,342.61,676400
2018-02-16,341.15,359.74,340.0,359.72,493200
2018-02-19,369.0,377.45,366.2,368.47,826500
2018-02-20,368.0,368.0,359.69,365.87,302900
2018-02-21,374.0,374.0,361.0,362.94,309900
2018-02-22,354.55,368.99,354.0,366.0,295500
2018-02-23,369.5,371.0,358.0,359.42,462100
2018-02-26,363.0,363.0,354.0,358.4,194700
2018-02-27,358.0,367.0,350.0,357.97,604000
2018-02-28,359.0,364.98,359.0,361.48,257500
2018-03-01,361.05,364.5,357.0,363.3,251600
2018-03-02,363.01,376.0,361.0,366.63,706400
2018-03-05,368.49,374.0,367.0,370.77,678200
2018-03-06,370.8,373.9,367.01,367.67,309200
2018-03-07,367.02,368.0,362.78,363.15,146500
2018-03-08,360.1,364.5,357.7,359.26,158400
2018-03-09,358.56,361.95,352.5,354.24,193200
2018-03-12,353.1,358.0,353.01,356.97,65600
2018-03-13,357.0,366.88,356.01,360.89,292200
2018-03-14,361.0,364.65,356.0,356.97,203200
2018-03-15,355.5,360.0,355.5,358.84,92100
2018-03-16,359.0,360.0,351.01,351.73,381000
2018-03-19,351.0,352.25,346.01,349.28,285900
2018-03-20,351.0,353.75,347.0,348.12,374700
2018-03-21,348.06,356.5,348.0,350.37,397700
2018-03-22,352.2,352.75,349.0,349.65,100300
2018-03-26,349.0,349.48,346.1,347.0,98500
2018-03-27,347.11,355.75,347.11,351.0,391900
2018-03-28,352.0,354.0,349.5,350.41,207000
2018-03-29,351.0,354.0,349.55,350.93,277100
2018-03-30,352.0,356.86,350.5,351.61,539200
2018-04-02,353.97,356.4,351.53,353.22,219900
2018-04-03,353.0,361.0,353.0,359.05,439800
2018-04-04,360.1,367.01,360.1,362.59,570500
2018-04-05,364.94,368.99,361.0,367.26,491800
2018-04-06,368.8,371.89,363.5,365.06,365100
2018-04-09,366.99,369.0,365.0,366.03,174600
2018-04-10,365.07,365.99,360.0,362.17,169200
2018-04-11,362.88,365.88,360.01,360.69,205000
2018-04-12,361.0,361.0,354.9,358.1,139600
2018-04-13,359.5,359.5,353.0,356.36,89000
2018-04-16,358.0,358.0,350.01,351.91,52200
2018-04-17,350.2,360.48,350.0,359.65,227500
2018-04-18,360.0,365.25,357.9,359.33,370100
2018-04-19,359.98,361.0,352.55,354.67,140200
2018-04-20,354.5,355.9,351.0,352.51,76600
2018-04-23,352.9,353.7,351.0,352.19,43800
2018-04-24,354.0,357.5,352.7,354.33,157500
2018-04-25,354.85,360.98,354.9,359.34,272100
2018-04-26,359.0,360.0,353.5,354.28,77500
2018-04-27,354.25,359.9,353.4,354.58,308200
2018-04-30,359.99,360.45,353.99,355.88,197600
2018-05-02,357.5,359.6,354.0,354.78,77100
2018-05-03,355.0,355.0,344.8,347.34,177400
2018-05-04,346.99,348.0,344.0,345.69,95100
2018-05-07,345.01,348.5,336.05,339.92,128600
2018-05-08,340.01,341.98,336.0,337.83,138700
2018-05-09,339.7,339.7,330.0,333.15,167700
2018-05-10,332.67,338.0,331.0,334.72,125000
2018-05-11,335.99,336.0,329.0,330.7,73500
2018-05-14,328.0,329.0,314.17,314.17,203400
2018-05-15,305.5,310.98,299.0,308.34,588800
2018-05-16,308.99,311.49,306.3,307.7,103300
2018-05-17,304.12,308.98,296.75,299.49,105100
2018-05-18,300.0,300.0,292.02,295.03,96100
2018-05-21,297.0,299.4,295.0,297.19,115600
2018-05-22,299.97,312.04,298.5,311.9,164800
2018-05-23,313.99,315.0,308.01,309.98,101300
2018-05-24,310.99,312.52,309.0,309.38,105900
2018-05-25,307.5,307.5,302.0,302.96,168000
2018-05-28,299.11,306.0,290.0,299.66,357000
2018-05-29,298.0,305.85,298.0,304.59,125600
2018-05-30,305.1,312.0,303.05,309.36,95900
2018-05-31,310.0,324.82,307.0,324.82,534500
2018-06-01,332.0,341.06,328.0,340.38,597800
2018-06-04,345.5,346.0,332.0,334.9,411400
2018-06-05,335.5,345.0,333.0,341.83,247700
2018-06-06,344.74,357.0,341.6,352.98,420500
2018-06-07,355.8,356.7,342.0,347.31,214400
2018-06-11,347.0,347.13,334.0,336.79,200000
2018-06-12,334.01,336.0,323.05,324.14,320200
2018-06-13,324.14,332.0,324.14,330.7,85000
2018-06-14,331.95,339.99,330.25,335.98,94200
2018-06-19,335.0,350.0,335.0,345.94,172600
2018-06-20,348.9,353.0,341.0,346.2,242300
2018-06-21,342.0,343.0,337.05,339.97,272200
2018-06-22,342.0,343.0,328.31,334.28,200800
2018-06-25,338.5,338.5,321.0,326.88,508700
2018-06-26,329.88,343.22,326.1,337.5,298900
2018-06-27,341.0,346.5,337.0,341.46,438700
2018-06-28,338.0,350.0,325.25,340.45,688100
2018-06-29,337.1,344.2,335.0,339.5,275600
2018-07-02,338.0,339.5,332.0,334.34,98500
2018-07-03,332.01,334.0,327.0,327.83,194700
2018-07-04,327.0,327.0,313.86,315.77,269200
2018-07-05,316.1,322.0,314.01,315.08,150200
2018-07-06,312.0,317.5,306.05,310.44,388700
2018-07-09,314.99,314.99,294.92,294.92,279200
2018-07-10,293.5,305.0,280.19,296.61,476100
2018-07-11,297.0,303.5,292.0,296.5,200100
2018-07-12,296.0,303.0,288.06,300.51,199300
2018-07-13,300.0,305.5,299.5,301.74,136500
2018-07-16,300.0,302.95,288.02,292.13,468100
2018-07-17,292.99,295.0,282.0,292.18,425900
2018-07-18,292.05,297.4,288.2,293.97,451300
2018-07-19,295.0,307.95,295.0,306.43,765200
2018-07-20,305.01,305.1,299.01,300.43,379300
2018-07-23,302.45,302.45,292.0,294.26,198700
2018-07-24,297.95,302.0,297.0,301.24,281600
2018-07-26,307.2,313.4,304.31,312.54,496900
2018-07-27,312.01,323.9,307.85,319.49,524800
2018-07-30,327.47,335.46,327.47,335.46,466600
2018-07-31,340.0,349.98,333.0,335.42,1553300
2018-08-01,338.0,341.0,334.0,338.89,351900
2018-08-02,340.0,344.0,334.53,335.3,279900
2018-08-03,332.0,337.84,330.0,331.0,156600
2018-08-06,329.0,330.7,325.5,329.05,185200
2018-08-07,331.99,332.8,329.0,329.42,90200
