Date,Open,High,Low,Close,Volume
2018-01-01,33.6,33.91,32.0,33.45,4000
2018-01-02,32.5,32.5,31.78,31.78,3000
2018-01-04,30.5,30.5,30.5,30.5,4000
2018-01-05,31.95,32.02,31.95,32.02,7500
2018-01-08,33.5,33.62,33.5,33.62,10000
2018-01-09,35.0,35.3,35.0,35.3,27500
2018-01-10,36.95,37.06,36.95,37.06,8000
2018-01-11,38.91,38.91,38.9,38.91,7500
2018-01-12,39.75,40.85,39.75,40.85,14000
2018-01-15,38.85,38.85,38.81,38.81,2000
2018-01-16,38.49,40.0,38.49,40.0,3000
2018-01-17,38.01,38.01,38.0,38.0,8000
2018-01-18,39.86,39.9,38.0,38.0,8000
2018-01-19,39.87,39.87,39.87,39.87,1000
2018-01-22,38.1,40.0,38.1,39.05,1000
2018-01-23,40.5,40.8,38.01,40.18,4000
2018-01-24,40.18,41.5,38.2,39.01,9000
2018-01-25,40.0,40.96,40.0,40.05,6500
2018-01-26,41.75,42.05,40.15,40.45,13000
2018-01-29,41.5,41.5,41.5,41.5,500
2018-01-30,43.45,43.45,40.3,40.45,13500
2018-01-31,41.55,41.55,41.55,41.55,500
2018-02-01,40.75,41.0,40.0,40.0,2500
2018-02-02,42.0,42.0,40.0,40.0,3500
2018-02-06,40.5,41.0,38.9,38.9,3500
2018-02-07,39.25,39.25,39.0,39.0,2500
2018-02-08,40.74,40.95,40.74,40.95,12500
2018-02-09,42.99,42.99,40.9,42.0,14500
2018-02-12,42.94,42.94,42.94,42.94,500
2018-02-13,43.94,43.95,43.01,43.01,2000
2018-02-14,43.0,43.0,40.86,40.86,6000
2018-02-15,39.25,41.0,39.25,40.95,2500
2018-02-16,42.74,42.99,41.8,42.99,12000
2018-02-19,45.13,45.13,43.75,45.13,21000
2018-02-20,44.0,46.5,44.0,45.33,8500
2018-02-21,46.0,47.59,43.07,46.71,24000
2018-02-22,45.9,48.48,45.9,47.2,22000
2018-02-23,48.0,48.0,44.84,47.12,17000
2018-02-26,45.5,46.0,45.5,45.5,6500
2018-02-27,47.7,47.77,43.23,43.23,21000
2018-02-28,45.0,45.39,45.0,45.39,28000
2018-03-01,47.65,47.65,43.51,46.8,83500
2018-03-02,47.5,48.0,44.46,46.78,22500
2018-03-05,45.3,46.45,45.3,46.42,2500
2018-03-06,46.5,47.7,45.5,47.4,3000
2018-03-07,45.5,46.5,45.12,45.97,7000
2018-03-08,44.3,46.2,43.68,43.83,5500
2018-03-09,43.5,45.35,42.06,43.09,3000
2018-03-12,43.0,44.6,41.3,41.63,18500
2018-03-13,40.42,43.71,40.4,43.71,15000
2018-03-14,44.65,45.5,43.75,44.5,27000
2018-03-15,44.11,45.1,42.5,43.15,19500
2018-03-16,43.9,43.9,43.5,43.53,2000
2018-03-19,45.4,45.4,43.15,43.85,3000
2018-03-20,42.81,44.0,42.63,43.1,9000
2018-03-21,43.95,44.7,43.7,44.7,4500
2018-03-22,43.5,44.7,43.11,43.11,2500
2018-03-26,44.88,45.26,44.88,45.26,26500
2018-03-27,45.52,46.88,45.0,45.0,11000
2018-03-28,45.79,46.3,44.5,46.3,12000
2018-03-29,45.4,45.4,45.4,45.4,1000
2018-03-30,47.1,47.1,47.1,47.1,1000
2018-04-02,45.1,46.7,45.1,45.88,3500
2018-04-03,0.0,45.88,45.88,45.88,7000
2018-04-04,44.5,46.35,44.5,44.6,1500
2018-04-05,44.99,46.4,44.3,44.77,5000
2018-04-06,45.6,45.6,45.6,45.6,7500
2018-04-09,44.12,44.12,44.0,44.0,1500
2018-04-10,43.5,46.2,43.5,46.2,43500
2018-04-11,46.0,46.0,45.65,45.65,1000
2018-04-12,45.0,45.0,44.5,44.83,5000
2018-04-13,45.0,45.0,45.0,45.0,1500
2018-04-16,44.0,44.0,43.5,43.5,2000
2018-04-17,44.5,44.9,44.0,44.0,3000
2018-04-18,43.75,44.99,43.75,44.99,4000
2018-04-19,44.2,47.0,44.2,45.1,14500
2018-04-20,45.4,47.35,44.6,47.35,36000
2018-04-23,47.35,49.5,47.35,49.43,7500
2018-04-24,47.1,51.68,47.1,50.76,30500
2018-04-25,51.9,53.29,51.9,53.29,42000
2018-04-26,54.89,55.5,50.63,50.63,39000
2018-04-27,48.5,50.0,48.1,48.12,50000
2018-04-30,48.9,50.5,48.9,49.0,27000
2018-05-02,50.0,51.45,50.0,50.4,24000
2018-05-03,51.0,51.0,47.88,47.88,25000
2018-05-04,47.0,50.27,47.0,49.95,30000
