Date,Open,High,Low,Close,Volume
2018-01-01,75.5,75.5,75.0,75.0,4000
2018-01-02,74.85,76.0,73.11,75.32,197500
2018-01-03,74.03,74.6,72.3,72.75,21000
2018-01-04,71.03,74.5,71.03,74.01,381500
2018-01-05,74.35,77.0,71.0,76.52,180500
2018-01-08,74.5,80.34,74.5,80.32,436000
2018-01-09,82.4,84.33,81.0,82.98,260500
2018-01-10,84.95,85.0,82.01,83.9,71000
2018-01-11,83.0,83.5,81.0,82.88,734500
2018-01-12,82.99,84.75,82.0,82.61,1784000
2018-01-15,82.1,82.9,81.1,81.99,56500
2018-01-16,82.95,83.45,80.4,80.72,33500
2018-01-17,81.85,83.5,81.75,83.0,51500
2018-01-18,83.5,85.5,82.3,83.0,287000
2018-01-19,83.5,83.9,82.55,82.9,23000
2018-01-22,83.0,83.5,82.1,83.03,76000
2018-01-23,82.01,83.0,82.0,82.01,41500
2018-01-24,83.0,86.11,83.0,84.64,387500
2018-01-25,86.0,86.4,84.0,84.94,77500
2018-01-26,83.5,88.35,83.5,87.21,378500
2018-01-29,87.0,88.8,86.41,87.66,49000
2018-01-30,87.0,87.0,85.1,85.38,14500
2018-01-31,85.0,86.2,84.6,86.0,31000
2018-02-01,85.0,85.9,83.2,84.44,57500
2018-02-02,83.6,85.0,83.6,84.69,33000
2018-02-06,83.0,86.9,83.0,85.4,61500
2018-02-07,85.0,89.0,85.0,87.29,226000
2018-02-08,86.5,88.0,86.5,87.0,189000
2018-02-09,86.99,88.2,85.5,87.85,18000
2018-02-12,86.0,87.0,85.0,86.33,63000
2018-02-13,87.0,88.5,85.76,87.99,50000
2018-02-14,87.9,88.0,87.0,87.0,173000
2018-02-15,87.5,87.5,86.0,86.18,32000
2018-02-16,86.5,89.0,86.5,88.51,314000
2018-02-19,87.05,87.95,87.01,87.95,12500
2018-02-20,88.0,88.0,88.0,88.0,500
2018-02-21,85.51,87.99,85.51,87.75,13000
2018-02-22,88.45,92.13,88.45,92.13,385000
2018-02-23,92.15,94.99,90.0,90.5,124500
2018-02-26,89.25,89.25,88.0,88.25,253500
2018-02-27,87.0,88.24,87.0,87.05,49000
2018-02-28,89.88,90.0,87.5,88.16,53000
2018-03-01,86.75,88.0,86.75,88.0,36500
2018-03-02,88.0,88.0,87.99,87.99,7000
2018-03-05,89.49,89.5,88.0,88.0,23000
2018-03-06,87.0,88.0,87.0,88.0,3500
2018-03-07,85.0,88.5,85.0,88.0,147000
2018-03-08,88.0,88.4,85.15,88.0,53500
2018-03-09,88.0,88.0,86.5,86.5,1000
2018-03-12,87.5,88.25,87.5,88.0,26000
2018-03-13,88.0,91.0,88.0,88.91,32500
2018-03-14,89.0,91.0,89.0,89.15,43000
2018-03-15,90.0,93.6,90.0,93.6,1102000
2018-03-16,94.99,95.5,94.0,94.02,183000
2018-03-19,93.02,96.0,93.02,95.42,382500
2018-03-20,94.05,98.0,94.05,97.0,705000
2018-03-21,97.0,97.4,94.3,96.29,686500
2018-03-22,95.95,99.4,95.5,99.05,1136000
2018-03-26,98.0,98.05,94.98,95.94,272000
2018-03-27,92.6,95.0,92.6,93.48,406000
2018-03-28,92.0,94.0,88.81,93.68,300000
2018-03-29,92.15,95.25,92.15,95.04,106500
2018-03-30,93.65,98.0,93.56,96.62,119000
2018-04-02,97.0,97.94,94.12,95.06,5500
2018-04-03,96.0,96.0,94.0,94.0,13500
2018-04-04,95.0,98.0,95.0,96.0,105000
2018-04-05,97.99,97.99,96.0,96.75,271500
2018-04-06,96.0,97.5,94.21,96.48,56000
2018-04-09,97.0,97.55,95.6,95.6,25500
2018-04-10,96.99,96.99,96.0,96.49,29500
2018-04-11,95.5,96.75,95.5,95.79,20500
