Date,Open,High,Low,Close,Volume
2018-01-01,93.5,95.49,92.6,95.12,5000
2018-01-02,95.25,97.0,95.0,96.0,2000
2018-01-03,95.0,95.95,94.0,95.95,2000
2018-01-04,94.25,95.0,93.5,94.0,33500
2018-01-05,94.0,97.5,93.75,97.07,32500
2018-01-08,97.1,99.5,97.0,97.43,9000
2018-01-09,97.0,98.0,97.0,97.51,8500
2018-01-10,99.3,102.0,98.0,98.95,133000
2018-01-11,98.25,103.89,98.25,99.86,282500
2018-01-12,99.0,99.0,96.0,96.13,27000
2018-01-15,96.0,96.0,93.0,93.58,34500
2018-01-16,95.4,96.5,94.55,94.93,31000
2018-01-17,96.0,97.0,95.0,95.52,205500
2018-01-18,97.45,98.0,95.65,97.34,60000
2018-01-19,97.5,99.5,96.51,98.26,171500
2018-01-22,99.99,101.85,99.0,101.15,52000
2018-01-23,101.75,104.5,100.1,103.19,57000
2018-01-24,104.0,106.5,101.51,103.87,403000
2018-01-25,104.95,105.5,103.11,103.4,96500
2018-01-26,102.75,105.0,102.5,104.25,13500
2018-01-29,104.26,106.0,102.0,102.58,36500
2018-01-30,102.26,104.0,102.0,103.63,24500
2018-01-31,103.0,103.0,102.0,102.02,101500
2018-02-01,102.5,105.5,102.0,104.7,59500
2018-02-02,104.5,107.5,104.5,107.01,78500
2018-02-06,105.0,107.9,105.0,105.51,31000
2018-02-07,106.0,107.5,103.3,104.47,84500
2018-02-08,103.01,104.45,102.51,103.0,20500
2018-02-09,100.51,104.0,100.51,102.95,87000
2018-02-12,103.0,103.9,102.75,103.6,19500
2018-02-13,103.5,104.4,102.5,102.61,104000
2018-02-14,102.0,103.4,100.0,100.23,37500
2018-02-15,100.0,101.9,98.0,99.02,169000
2018-02-16,99.0,101.0,99.0,100.77,31000
2018-02-19,100.99,101.5,100.0,101.0,5500
2018-02-20,99.51,100.1,98.0,100.04,23500
2018-02-21,100.5,105.04,100.0,105.04,578500
2018-02-22,104.99,109.44,104.99,107.32,427500
2018-02-23,107.05,109.89,104.1,105.75,129500
2018-02-26,104.1,110.8,104.05,109.89,177000
2018-02-27,109.75,111.0,107.5,107.84,94000
2018-02-28,108.99,109.75,107.5,108.18,65000
2018-03-01,108.0,109.95,107.7,108.82,751000
2018-03-02,109.5,112.0,109.0,110.95,214500
2018-03-05,112.0,116.49,111.5,116.49,332000
2018-03-06,119.0,119.0,113.0,113.92,175500
2018-03-07,114.95,114.95,112.0,112.26,48500
2018-03-08,112.9,113.99,110.1,110.22,118000
2018-03-09,109.51,111.0,108.2,108.53,62500
2018-03-12,109.0,110.99,108.0,109.45,42000
2018-03-13,109.7,112.0,109.7,110.5,28500
2018-03-14,110.0,113.4,110.0,111.81,55500
2018-03-15,112.5,113.5,111.0,111.68,58000
2018-03-16,112.0,112.5,110.3,110.47,66000
2018-03-19,110.1,111.19,110.1,110.76,37000
2018-03-20,110.01,111.0,109.0,109.12,176000
2018-03-21,109.5,110.7,108.75,109.09,31000
2018-03-22,108.99,109.0,108.5,108.77,26000
2018-03-26,107.0,108.0,107.0,107.73,76000
2018-03-27,108.25,109.25,107.0,107.27,33000
2018-03-28,107.51,108.5,107.51,108.0,6000
2018-03-29,108.05,111.0,107.51,108.24,672500
2018-03-30,108.6,110.7,107.65,107.85,180500
2018-04-02,109.05,109.05,107.02,107.75,113000
2018-04-03,107.1,108.0,106.55,106.87,101000
2018-04-04,107.99,110.5,106.25,107.04,436000
2018-04-05,108.44,109.4,107.9,108.38,159500
2018-04-06,109.7,110.5,109.0,109.59,189500
2018-04-09,109.1,110.5,109.0,110.0,355000
2018-04-10,111.5,111.89,109.5,110.44,388000
2018-04-11,110.99,112.01,109.6,110.01,129000
2018-04-12,110.2,111.25,109.1,109.36,83000
2018-04-13,109.0,110.0,108.0,108.31,122000
2018-04-16,108.5,108.5,106.5,106.84,27500
2018-04-17,107.0,108.45,106.5,107.1,80500
2018-04-18,108.0,108.5,105.7,105.91,113500
2018-04-19,106.5,107.4,105.9,106.55,56500
2018-04-20,105.5,106.0,105.0,105.27,91000
2018-04-23,106.89,108.98,106.7,107.92,122500
2018-04-24,108.0,113.31,108.0,113.31,861000
2018-04-25,114.75,117.48,113.9,116.03,639000
2018-04-26,121.83,121.83,116.6,117.65,1594500
2018-04-27,117.5,120.9,117.0,119.65,255500
2018-04-30,121.0,121.0,115.0,116.52,199500
2018-05-02,116.01,116.89,115.05,115.48,58000
2018-05-03,115.5,115.75,112.01,112.77,111500
2018-05-04,112.95,113.01,112.0,112.22,38000
2018-05-07,112.5,114.5,111.0,111.36,80500
2018-05-08,111.5,112.4,110.25,111.84,54500
2018-05-09,111.05,111.57,109.0,109.92,56500
2018-05-10,109.25,112.0,108.55,110.71,55000
2018-05-11,110.7,111.6,108.5,109.28,74500
2018-05-14,109.0,109.0,105.99,106.99,73500
2018-05-15,107.0,110.0,106.2,109.89,69000
2018-05-16,108.1,108.99,108.0,108.56,10500
2018-05-17,109.0,109.4,107.6,108.35,36500
2018-05-18,108.25,108.25,107.0,107.4,24500
2018-05-21,108.9,109.0,106.0,107.33,20000
2018-05-22,108.9,109.75,108.11,109.64,46000
2018-05-23,110.25,110.25,108.0,108.33,14000
2018-05-24,108.1,110.0,108.0,109.6,40500
2018-05-25,111.0,114.0,111.0,112.09,139000
2018-05-28,112.0,112.01,110.73,112.0,122500
2018-05-29,111.25,115.0,110.02,112.75,96500
2018-05-30,114.0,118.38,114.0,118.38,173500
2018-05-31,120.0,120.49,115.16,116.01,91000
2018-06-01,115.5,115.6,114.55,115.23,12000
2018-06-04,115.4,116.0,114.99,115.9,48500
2018-06-05,115.9,118.0,115.0,117.88,14000
2018-06-06,118.0,120.45,117.5,119.47,62500
2018-06-07,120.45,120.45,117.0,118.37,25000
2018-06-11,117.06,117.06,115.1,116.49,36000
2018-06-12,113.72,114.05,111.99,112.0,26500
2018-06-13,113.5,113.5,112.5,113.0,22000
2018-06-14,113.0,113.0,112.5,113.0,36000
2018-06-19,113.0,113.5,112.0,113.5,4000
2018-06-20,113.9,114.0,110.01,112.59,61500
2018-06-21,111.0,112.0,111.0,111.65,52500
2018-06-22,111.0,111.25,107.99,108.02,37000
2018-06-25,107.0,107.0,103.0,104.62,42500
2018-06-26,106.94,107.5,104.0,104.58,101000
2018-06-27,106.0,107.0,105.0,106.69,12000
2018-06-28,107.0,110.0,106.0,106.0,156000
2018-06-29,106.85,107.7,104.3,107.16,91000
2018-07-02,107.2,107.25,101.81,101.89,417800
2018-07-03,101.03,102.89,101.0,101.98,27200
2018-07-04,100.02,102.01,96.89,96.89,213900
2018-07-05,98.8,98.99,93.11,94.02,154800
2018-07-06,93.01,95.0,93.0,94.98,33300
2018-07-09,94.05,94.05,90.24,90.63,159700
2018-07-10,88.61,88.75,86.1,87.31,284300
2018-07-11,87.49,88.5,86.2,86.91,83800
2018-07-12,86.8,88.11,86.75,87.97,33900
2018-07-13,91.0,91.38,88.25,88.98,40900
2018-07-16,92.0,92.0,85.25,86.52,70900
2018-07-17,86.5,87.0,83.3,83.52,257500
2018-07-18,84.0,87.69,84.0,87.69,172600
2018-07-19,92.07,92.07,90.0,91.39,328000
2018-07-20,92.9,92.95,86.83,87.29,596800
2018-07-23,86.99,87.5,84.0,84.53,152800
2018-07-24,86.5,88.75,86.0,87.58,412100
2018-07-26,89.5,91.5,88.06,88.62,482200
2018-07-27,88.56,92.89,88.1,91.81,476700
2018-07-30,94.0,95.38,93.0,93.61,444900
2018-07-31,92.9,94.89,91.05,92.23,213600
2018-08-01,93.49,94.5,92.02,93.74,137800
2018-08-02,94.2,94.25,90.5,91.22,257300
2018-08-03,91.98,92.51,91.0,91.96,66800
2018-08-06,92.0,94.5,92.0,94.17,303300
2018-08-07,94.98,96.4,94.56,95.74,320800
2018-08-08,96.25,97.8,95.01,95.28,217900
2018-08-09,95.88,96.75,95.0,96.01,228300
2018-08-10,97.01,99.65,97.0,98.28,622200
2018-08-13,98.7,100.65,97.1,97.48,333100
2018-08-15,98.2,99.25,97.0,97.35,177000
2018-08-16,97.1,98.15,95.25,96.14,194400
2018-08-17,97.25,99.9,96.6,99.08,444100
2018-08-20,99.88,100.6,98.1,99.01,77400
2018-08-24,99.0,100.0,98.5,99.75,44000
2018-08-27,99.1,101.39,95.1,100.32,380300
2018-08-28,101.42,104.69,101.42,102.47,368300
2018-08-29,103.0,104.0,101.5,103.03,160100
2018-08-30,103.0,103.5,101.0,101.81,150500
2018-08-31,102.0,103.95,100.0,101.01,190300
2018-09-03,98.55,101.77,97.0,101.1,150600
2018-09-04,102.5,102.75,100.25,100.72,138100
2018-09-05,99.6,99.8,98.0,98.09,229200
2018-09-06,98.0,99.2,96.0,96.41,83800
2018-09-07,96.0,97.85,95.4,96.04,144600
2018-09-10,93.2,97.0,93.0,95.0,121700
2018-09-11,96.99,99.0,96.0,96.32,120100
2018-09-12,96.5,97.9,94.1,95.81,158700
2018-09-13,96.99,99.75,96.5,98.58,348300
2018-09-14,100.0,100.0,96.6,97.1,130800
2018-09-17,96.01,96.01,93.0,93.29,108200
2018-09-18,93.0,94.0,90.0,93.24,268100
2018-09-19,94.0,94.9,93.5,94.08,71200
2018-09-24,94.0,97.2,93.5,94.79,131900
2018-09-25,95.0,97.0,93.5,95.03,41600
2018-09-26,95.99,96.0,94.25,95.13,117300
2018-09-27,95.0,95.4,92.5,93.91,140600
2018-09-28,93.75,95.0,93.5,94.77,168100
2018-10-01,94.99,97.5,91.25,92.69,701800
2018-10-02,92.0,92.5,89.0,90.46,118700
2018-10-03,90.46,90.46,89.0,89.45,80300
2018-10-04,89.5,89.9,87.02,87.72,68000
2018-10-05,87.0,87.0,83.34,83.98,537200
2018-10-08,83.98,83.98,79.79,79.79,237300
2018-10-09,83.0,83.0,78.0,80.95,568100
2018-10-10,79.5,82.0,78.0,80.3,195500
2018-10-11,79.56,80.95,79.1,80.31,16600
2018-10-12,79.05,79.05,76.51,77.07,48100
2018-10-15,76.55,77.0,75.0,76.17,84200
2018-10-16,77.01,78.0,76.55,77.17,56600
2018-10-17,77.17,81.02,76.1,81.02,166900
2018-10-18,77.45,78.77,76.63,77.74,186300
2018-10-19,77.65,80.5,74.1,79.26,40800
2018-10-22,80.9,80.9,79.0,79.08,195500
2018-10-23,79.99,79.99,76.0,76.12,54500
2018-10-24,78.7,79.92,78.7,79.92,54400
2018-10-25,82.0,83.91,81.7,82.45,532700
2018-10-26,84.94,86.57,80.15,86.57,307000
2018-10-29,90.89,90.89,90.01,90.89,426300
2018-10-30,92.97,92.97,89.0,90.94,303500
2018-10-31,91.0,93.5,90.01,92.72,187100
2018-11-01,91.5,95.0,91.1,94.74,162200
2018-11-02,93.2,96.8,93.2,95.34,135300
2018-11-05,94.0,94.01,92.2,93.75,79600
2018-11-06,93.0,94.0,91.0,91.89,156900
2018-11-07,91.5,94.0,91.5,92.24,123000
2018-11-08,92.0,92.0,90.8,91.19,96800
2018-11-09,91.51,93.4,90.6,92.58,108500
2018-11-12,92.5,92.5,90.0,90.4,101800
2018-11-13,90.0,91.0,88.5,90.71,202000
2018-11-14,89.0,93.96,89.0,92.58,162900
2018-11-15,92.5,93.5,91.9,92.02,56700
2018-11-16,92.0,94.4,92.0,92.85,106900
2018-11-19,93.0,93.0,90.0,90.39,129600
2018-11-20,90.01,90.74,89.92,90.22,55300
2018-11-22,90.0,92.0,90.0,91.23,167300
2018-11-23,91.5,92.4,90.5,92.02,43300
2018-11-26,92.0,93.0,91.5,92.15,120000
2018-11-27,93.49,93.49,91.55,92.38,60500
2018-11-28,92.01,92.99,91.0,91.0,61200
2018-11-29,90.7,91.0,90.02,90.96,5900
