Date,Open,High,Low,Close,Volume
2018-01-01,510.0,512.48,510.0,510.87,53300
2018-01-02,513.98,519.85,513.4,516.34,10150
2018-01-03,517.0,517.0,503.2,513.0,1700
2018-01-04,513.0,528.0,512.99,519.38,33250
2018-01-05,520.0,544.98,520.0,539.52,86550
2018-01-08,540.0,559.0,535.0,553.74,48400
2018-01-09,563.5,564.0,541.05,548.33,9600
2018-01-10,548.0,575.0,540.1,566.08,51150
2018-01-11,560.0,570.0,556.0,565.61,43950
2018-01-12,564.5,564.5,549.99,556.98,28650
2018-01-15,555.0,555.0,535.1,544.19,17250
2018-01-16,543.01,553.99,543.01,547.06,14500
2018-01-17,554.5,554.5,545.0,550.0,7200
2018-01-18,550.0,553.5,544.0,549.44,13700
2018-01-19,549.44,560.4,549.44,556.43,6750
2018-01-22,559.5,584.0,559.0,578.73,49250
2018-01-23,572.15,579.45,565.01,573.6,11450
2018-01-24,578.97,578.97,555.0,572.04,10050
2018-01-25,569.99,571.0,569.0,570.01,14900
2018-01-26,568.2,568.2,565.0,567.0,5850
2018-01-29,564.0,564.0,559.0,560.63,4650
2018-01-30,560.02,560.02,551.0,551.4,2100
2018-01-31,545.11,554.0,545.11,550.67,750
2018-02-01,550.1,575.0,540.0,550.8,27400
2018-02-02,561.0,566.0,561.0,564.89,7750
2018-02-06,570.98,570.98,550.68,560.0,2150
2018-02-07,569.9,569.9,562.61,562.61,50050
2018-02-08,555.16,559.95,540.13,548.74,78800
2018-02-09,547.95,547.95,545.0,546.25,1200
2018-02-12,538.3,548.99,525.25,537.25,15950
2018-02-13,546.85,546.85,535.0,537.5,500
2018-02-14,535.0,535.0,517.5,527.37,60350
2018-02-15,535.0,535.0,510.0,511.97,16350
2018-02-16,520.0,524.0,502.05,518.64,10700
2018-02-19,518.0,524.0,516.0,516.0,850
2018-02-20,516.0,516.0,501.11,503.49,9100
2018-02-21,512.9,513.0,504.0,506.41,26400
2018-02-22,500.0,519.9,499.0,511.27,38150
2018-02-23,504.01,514.0,495.0,497.5,13000
2018-02-26,490.0,496.95,485.1,492.87,5500
2018-02-27,490.0,494.9,470.0,489.61,25300
2018-02-28,494.99,495.0,475.0,484.98,24350
2018-03-01,480.0,480.0,470.0,472.1,37550
2018-03-02,477.4,478.0,470.0,474.52,20050
2018-03-05,475.0,480.0,473.0,476.28,15250
2018-03-06,479.99,485.0,477.1,480.45,22750
2018-03-07,479.0,481.0,476.0,477.5,114900
2018-03-08,480.0,482.35,475.01,477.67,4900
2018-03-09,478.0,482.89,475.0,482.15,2250
2018-03-12,480.0,482.9,477.0,482.55,8800
2018-03-13,485.9,496.0,485.0,493.39,127950
2018-03-14,489.99,490.0,480.11,485.8,7850
2018-03-15,486.0,488.79,485.0,487.35,121450
2018-03-16,487.35,499.5,483.0,492.64,654900
2018-03-19,494.94,517.27,492.0,511.71,87950
2018-03-20,519.0,537.28,512.0,522.0,99150
2018-03-21,532.0,533.0,518.1,521.81,49100
2018-03-22,520.0,525.0,514.1,521.78,20400
2018-03-26,515.51,515.51,506.0,508.43,643800
2018-03-27,509.49,515.0,507.5,510.0,6650
2018-03-28,510.0,518.49,505.0,512.8,9500
2018-03-29,507.0,529.0,505.61,517.96,11250
2018-03-30,520.0,524.9,507.0,515.65,46050
2018-04-02,515.0,522.95,510.0,514.64,18300
2018-04-03,515.3,540.37,515.0,537.58,286950
2018-04-04,537.5,548.9,533.0,536.35,24000
2018-04-05,539.0,539.95,518.2,527.96,10600
2018-04-06,532.99,541.45,525.2,529.77,26550
2018-04-09,538.0,538.0,527.01,530.0,1200
2018-04-10,526.01,526.01,520.01,525.24,2800
2018-04-11,524.99,532.0,523.11,527.79,2600
2018-04-12,532.99,537.85,530.0,535.29,13850
2018-04-13,534.95,536.75,534.95,535.71,9850
2018-04-16,535.0,537.5,535.0,535.44,4650
2018-04-17,538.75,539.75,535.0,536.0,9550
2018-04-18,539.73,539.77,535.0,536.05,5300
2018-04-19,530.01,536.0,530.01,535.91,12200
2018-04-20,535.0,544.9,525.15,535.24,43550
2018-04-23,536.0,548.95,534.99,543.66,29350
2018-04-24,547.9,548.95,539.9,546.41,144900
2018-04-25,536.11,544.0,536.11,542.25,23550
2018-04-26,540.0,555.73,536.0,547.04,11750
2018-04-27,548.0,555.0,523.0,547.64,14950
2018-04-30,526.0,553.0,525.12,549.8,24650
2018-05-02,548.99,549.8,540.0,543.39,12150
2018-05-03,540.95,543.5,535.0,540.98,72850
2018-05-04,526.11,540.0,526.11,540.0,1100
2018-05-07,532.55,554.0,526.5,542.44,7750
2018-05-08,533.11,535.12,522.5,524.98,15900
2018-05-09,517.77,520.0,506.15,517.65,11100
