Date,Open,High,Low,Close,Volume
2018-01-01,29.4,30.98,28.15,30.76,15096500
2018-01-02,30.3,31.42,29.35,29.7,20767000
2018-01-03,29.7,30.0,28.71,28.98,11266500
2018-01-04,28.92,29.78,28.6,29.54,8536000
2018-01-05,29.5,29.74,28.8,29.04,8673500
2018-01-08,29.1,29.78,28.66,29.42,12237000
2018-01-09,29.65,30.89,29.12,30.78,23513000
2018-01-10,30.4,32.31,30.01,32.31,16720500
2018-01-11,33.01,33.92,32.61,33.92,12879500
2018-01-12,34.01,34.98,32.61,32.89,26025000
2018-01-15,32.6,32.84,31.25,31.25,8556500
2018-01-16,31.15,32.37,31.0,31.5,7797500
2018-01-17,31.49,32.42,31.1,32.23,4346000
2018-01-18,33.0,33.49,30.85,31.93,17579000
2018-01-19,32.45,33.15,32.06,32.82,7981000
2018-01-22,33.05,34.46,32.82,34.36,15352000
2018-01-23,34.36,34.97,33.71,34.7,10986500
2018-01-24,34.8,36.0,34.26,34.65,29045500
2018-01-25,34.6,34.94,34.1,34.79,8343500
2018-01-26,34.6,35.42,34.5,34.73,10199000
2018-01-29,34.79,34.79,34.27,34.53,2799500
2018-01-30,34.54,35.64,34.51,35.42,8994000
2018-01-31,35.56,36.12,35.15,35.47,12411000
2018-02-01,35.4,35.9,35.1,35.26,6164500
2018-02-02,35.38,37.02,34.89,37.02,11798500
2018-02-06,36.98,38.87,36.75,38.87,20289500
2018-02-07,39.49,39.65,37.65,38.85,26845500
2018-02-08,38.68,39.12,36.95,37.36,13298500
2018-02-09,37.36,38.59,36.6,38.31,12723500
2018-02-12,38.4,39.35,38.2,39.13,12159000
2018-02-13,39.21,39.62,38.13,38.75,11497500
2018-02-14,38.37,38.44,37.0,37.42,7331500
2018-02-15,37.25,37.47,35.55,35.55,9331500
2018-02-16,35.0,36.79,34.3,36.44,13797500
2018-02-19,36.65,37.1,34.84,35.37,7499000
2018-02-20,35.55,36.55,34.4,36.29,13842500
2018-02-21,37.2,37.35,36.55,36.78,9326000
2018-02-22,35.75,37.0,35.5,36.84,5767000
2018-02-23,37.02,37.42,35.0,35.58,14654000
2018-02-26,37.35,37.35,36.8,37.35,9306000
2018-02-27,37.49,37.8,36.5,36.95,9235000
2018-02-28,37.14,37.44,36.5,36.85,4629500
2018-03-01,36.71,37.24,36.62,36.81,3325000
2018-03-02,37.1,38.2,36.7,37.42,15150000
2018-03-05,37.55,37.75,36.9,37.27,2920500
2018-03-06,37.6,37.7,37.05,37.14,2451500
2018-03-07,37.35,37.45,36.5,36.68,2649000
2018-03-08,36.51,36.6,35.1,35.49,5354500
2018-03-09,35.7,36.0,33.85,34.2,6294500
2018-03-12,33.91,34.7,33.87,34.55,3115000
2018-03-13,34.69,35.85,34.2,35.46,6069000
2018-03-14,35.5,36.09,35.06,35.37,4575000
2018-03-15,35.34,35.59,34.82,35.02,2316500
2018-03-16,35.0,35.35,34.5,34.67,3418000
2018-03-19,34.57,35.65,34.2,35.4,4359000
2018-03-20,35.6,37.17,35.42,36.81,13421000
2018-03-21,36.98,38.65,36.61,38.32,14844000
2018-03-22,38.9,40.19,38.45,38.9,22335500
2018-03-26,38.32,38.62,37.93,38.39,7543500
2018-03-27,38.5,38.82,38.2,38.3,5443000
2018-03-28,38.15,40.21,38.06,40.21,22989500
2018-03-29,38.61,39.85,38.2,38.2,41881000
2018-03-30,37.15,37.45,36.29,36.36,22466000
2018-04-02,36.89,36.89,34.85,35.65,17085000
2018-04-03,35.75,36.17,35.28,35.43,5552000
2018-04-04,35.65,36.1,35.4,35.53,4808000
2018-04-05,35.9,36.1,35.1,35.66,5013500
2018-04-06,36.25,36.82,35.71,36.23,10731000
2018-04-09,36.38,37.37,35.9,36.97,13441000
2018-04-10,37.0,37.55,36.7,36.84,9402500
2018-04-11,37.0,37.25,36.61,36.69,4465500
2018-04-12,36.72,36.85,36.11,36.41,2975000
2018-04-13,36.58,36.6,35.8,35.97,2732500
2018-04-16,36.3,36.35,35.62,35.85,3165000
2018-04-17,36.0,36.4,35.81,36.08,2896000
2018-04-18,36.1,36.4,35.56,35.71,1353000
2018-04-19,35.99,36.0,33.93,34.41,5535000
2018-04-20,34.6,34.65,33.21,33.91,3967000
2018-04-23,33.91,34.25,33.6,34.11,3205000
2018-04-24,34.15,35.24,34.15,35.1,4952500
2018-04-25,35.5,35.9,34.99,35.09,4189000
2018-04-26,35.03,35.18,34.3,34.52,3443500
2018-04-27,34.74,34.77,33.87,34.13,4932500
2018-04-30,34.39,35.0,34.25,34.73,4424000
2018-05-02,34.8,34.8,33.98,34.11,1526000
2018-05-03,34.0,34.15,33.3,33.59,3681500
2018-05-04,33.69,34.52,33.32,34.11,4426000
2018-05-07,34.0,34.29,32.42,32.57,3938500
2018-05-08,32.78,32.78,31.7,32.14,3574500
2018-05-09,31.9,32.39,30.98,31.8,3609000
2018-05-10,31.98,32.15,30.55,30.89,3908000
2018-05-11,30.89,31.14,29.35,29.63,6169000
2018-05-14,29.49,29.49,28.15,28.16,5348000
2018-05-15,28.49,29.44,27.52,29.19,7968000
2018-05-16,29.29,29.56,28.4,28.65,3082000
2018-05-17,28.84,28.84,27.25,27.46,2014500
2018-05-18,26.8,27.6,26.42,26.54,4219000
2018-05-21,26.75,27.07,26.09,26.17,3281500
2018-05-22,26.15,27.47,26.0,27.41,6734000
2018-05-23,27.5,27.78,27.11,27.57,4623500
2018-05-24,27.57,27.65,26.8,27.02,2119000
2018-05-25,27.0,27.0,25.67,25.73,7725000
2018-05-28,25.73,27.01,24.9,26.42,9352500
2018-05-29,26.67,27.7,26.1,27.4,11356500
2018-05-30,27.85,28.77,27.74,28.63,8757000
2018-05-31,28.8,29.2,28.45,28.78,11663500
2018-06-01,28.6,28.8,28.2,28.36,2973500
2018-06-04,28.48,29.1,27.75,28.85,4294000
2018-06-05,29.05,29.2,28.61,28.99,3309500
2018-06-06,29.15,30.43,29.02,30.43,15404500
2018-06-07,30.79,31.15,30.1,30.31,7222000
2018-06-11,30.3,30.57,28.8,28.9,3162000
2018-06-12,28.5,28.9,27.46,27.51,2694000
2018-06-13,27.3,28.88,27.3,28.59,5074000
2018-06-14,28.7,29.7,28.7,29.22,4233500
2018-06-19,29.44,30.68,29.43,30.68,7527500
2018-06-20,31.2,31.89,29.8,30.71,16552000
2018-06-21,30.2,31.2,29.82,30.55,9618500
2018-06-22,30.65,30.95,29.03,29.03,6421000
2018-06-25,29.05,29.1,27.58,27.63,4066000
2018-06-26,27.9,28.59,27.25,28.41,5541000
2018-06-27,28.6,29.7,28.4,29.3,8248500
2018-06-28,29.0,29.75,28.55,29.06,7038500
2018-06-29,29.2,29.3,28.51,28.64,5204500
2018-07-02,28.7,29.15,28.25,28.95,3594000
2018-07-03,28.71,29.01,28.61,28.78,2285000
2018-07-04,28.7,28.7,27.35,27.35,4530000
2018-07-05,27.1,27.69,26.41,27.15,3514000
2018-07-06,26.95,27.99,26.71,27.52,3324000
2018-07-09,27.75,28.09,26.15,26.22,4059000
2018-07-10,26.3,26.99,25.6,26.8,5491500
2018-07-11,26.95,27.51,25.92,26.03,5278000
2018-07-12,25.75,26.65,25.51,26.29,4174000
2018-07-13,26.03,26.69,26.02,26.32,1884500
2018-07-16,26.5,26.6,25.56,25.98,2295500
2018-07-17,25.9,27.27,25.75,27.1,8054000
2018-07-18,27.16,28.45,27.12,28.45,9471000
2018-07-19,28.9,29.84,28.81,29.74,10500500
2018-07-20,29.51,29.55,28.3,28.52,4619500
2018-07-23,28.69,28.69,27.51,27.75,2697500
2018-07-24,27.75,29.13,27.75,29.1,6935500
2018-07-26,30.2,30.28,29.51,30.09,6915500
2018-07-27,30.28,31.48,30.0,31.02,11884000
2018-07-30,31.25,32.52,31.16,32.22,9188000
2018-07-31,32.5,32.5,30.61,30.87,7923500
2018-08-01,31.01,32.41,30.75,32.41,7730500
2018-08-02,33.01,33.65,32.1,32.63,14426500
2018-08-03,32.55,33.64,32.35,33.12,7125500
2018-08-06,33.2,33.6,33.02,33.39,4740000
2018-08-07,33.68,33.98,33.2,33.36,11161500
2018-08-08,33.33,33.35,32.75,32.87,2598000
2018-08-09,32.87,33.41,32.81,33.25,2819000
2018-08-10,33.44,34.0,32.52,32.86,8257000
2018-08-13,33.0,33.2,32.32,32.5,2401000
2018-08-15,32.75,33.05,31.71,32.12,3356500
2018-08-16,32.15,32.15,30.52,30.65,4483500
2018-08-17,30.9,32.1,30.7,31.75,3233500
2018-08-20,32.4,32.4,30.85,31.05,3128500
2018-08-24,30.51,32.6,30.31,32.38,5343000
2018-08-27,32.9,33.5,32.25,32.84,11777500
2018-08-28,32.7,33.38,32.05,32.17,5526000
2018-08-29,32.54,32.54,31.55,31.82,2393500
2018-08-30,31.95,32.5,31.42,31.97,3589000
