Date,Open,High,Low,Close,Volume
2018-01-01,4.11,4.35,4.11,4.15,3000
2018-01-02,4.06,4.34,4.02,4.21,60500
2018-01-03,4.2,4.3,4.2,4.2,27500
2018-01-04,4.26,4.31,4.15,4.21,58500
2018-01-05,4.25,5.15,4.25,5.0,420500
2018-01-08,5.3,5.5,5.15,5.25,272000
2018-01-09,4.59,5.6,4.59,5.25,29500
2018-01-10,5.15,6.0,5.15,5.97,563000
2018-01-11,5.97,6.15,5.65,5.8,83000
2018-01-12,5.85,5.85,5.31,5.43,104500
2018-01-15,5.49,5.55,5.06,5.11,73000
2018-01-16,5.4,5.45,5.11,5.2,23500
2018-01-17,5.11,5.31,5.1,5.3,74000
2018-01-18,5.26,5.6,5.25,5.4,114000
2018-01-19,5.4,5.59,5.25,5.39,58000
2018-01-22,5.26,5.7,5.26,5.44,130000
2018-01-23,5.32,5.55,5.3,5.33,28000
2018-01-24,5.64,5.64,5.3,5.3,64000
2018-01-25,5.2,5.6,5.2,5.42,22000
2018-01-26,5.21,5.39,5.01,5.28,189500
2018-01-29,5.12,5.25,5.01,5.11,46500
2018-01-30,5.2,5.2,4.75,4.85,174000
2018-01-31,5.0,5.0,4.65,4.71,201500
2018-02-01,4.9,4.99,4.7,4.9,62000
2018-02-02,4.85,4.9,4.65,4.75,68500
2018-02-06,4.5,4.8,4.31,4.45,145000
2018-02-07,4.6,4.86,4.6,4.67,38500
2018-02-08,4.75,4.76,4.57,4.68,22500
2018-02-09,4.42,4.65,4.42,4.52,21500
2018-02-12,4.43,4.58,4.35,4.43,29000
2018-02-13,4.42,4.42,4.28,4.32,61000
2018-02-14,4.26,4.26,4.2,4.25,11000
2018-02-15,4.2,4.2,4.01,4.08,31500
2018-02-16,4.39,4.4,4.25,4.34,29000
2018-02-19,4.31,4.33,4.3,4.3,17500
2018-02-20,4.2,4.2,3.84,3.93,419000
2018-02-21,4.2,4.2,3.95,4.01,32000
2018-02-22,4.01,4.14,4.0,4.07,45000
2018-02-23,4.2,4.23,4.0,4.07,45500
2018-02-26,4.1,4.1,3.97,4.01,99500
2018-02-27,3.65,4.1,3.65,3.91,46000
2018-02-28,4.03,4.1,4.0,4.09,45000
2018-03-01,3.9,4.11,3.9,4.0,206000
2018-03-02,3.97,4.1,3.97,4.06,189500
2018-03-05,3.83,4.1,3.83,4.05,155500
2018-03-06,3.94,4.04,3.9,3.96,104000
2018-03-07,4.04,4.04,3.9,3.95,33500
2018-03-08,3.81,3.99,3.8,3.87,60500
2018-03-09,3.88,3.96,3.8,3.82,59000
2018-03-12,3.95,4.49,3.9,4.18,828500
2018-03-13,4.29,4.78,4.15,4.64,730000
2018-03-14,4.8,5.64,4.8,5.64,1013000
2018-03-15,5.99,6.28,5.5,5.62,1598000
2018-03-16,5.42,5.51,5.26,5.31,339500
2018-03-19,5.35,5.68,5.3,5.6,199500
2018-03-20,5.75,5.89,5.55,5.62,423500
2018-03-21,5.7,5.78,5.61,5.69,128500
2018-03-22,5.75,6.44,5.55,6.31,995500
2018-03-26,6.5,6.88,6.15,6.21,364500
2018-03-27,5.6,6.3,5.6,6.07,370500
2018-03-28,6.18,6.28,6.0,6.06,187500
2018-03-29,6.24,6.49,6.1,6.15,268000
2018-03-30,6.25,6.4,6.1,6.18,120000
2018-04-02,6.25,6.4,5.9,6.08,462000
2018-04-03,6.29,6.29,5.67,5.74,545500
2018-04-04,5.8,5.82,5.0,5.15,1194500
2018-04-05,5.2,5.3,4.88,4.95,431500
2018-04-06,5.08,5.08,4.8,4.84,281000
2018-04-09,4.95,5.8,4.85,5.2,3515500
2018-04-10,5.25,6.0,5.25,5.47,3713500
2018-04-11,5.69,5.92,5.65,5.71,1725000
2018-04-12,5.75,6.42,5.75,6.1,2840000
2018-04-13,6.2,6.7,5.9,6.6,2521500
2018-04-16,6.81,7.0,6.45,6.59,2068000
2018-04-17,6.56,6.6,6.32,6.4,643500
2018-04-18,6.59,6.6,6.07,6.11,518000
2018-04-19,6.35,6.5,5.8,5.99,2000000
2018-04-20,6.08,6.34,5.84,5.89,1552500
2018-04-23,6.15,6.15,5.78,5.82,585000
2018-04-24,5.99,5.99,5.6,5.69,565000
2018-04-25,5.8,5.8,5.4,5.45,628500
2018-04-26,5.6,6.45,5.47,6.1,5211000
2018-04-27,6.25,6.44,5.91,6.0,971000
2018-04-30,6.0,6.18,5.85,5.93,543000
2018-05-02,5.75,6.19,5.75,6.02,333500
2018-05-03,6.0,6.0,5.73,5.97,217000
2018-05-04,5.86,6.18,5.8,6.11,319500
2018-05-07,6.19,6.3,6.0,6.05,470000
2018-05-08,6.18,6.38,5.8,5.86,339500
2018-05-09,5.95,5.95,5.4,5.48,648500
2018-05-10,5.42,5.65,5.32,5.44,459000
2018-05-11,5.2,5.6,4.66,4.91,1233500
2018-05-14,4.78,5.0,4.46,4.57,845000
2018-05-15,4.65,4.8,4.45,4.54,419000
2018-05-16,4.6,4.66,4.5,4.53,325500
2018-05-17,4.6,4.7,4.44,4.5,232500
2018-05-18,4.46,4.46,4.28,4.32,155500
2018-05-21,4.5,4.5,3.93,4.01,1686000
2018-05-22,4.13,4.47,4.02,4.39,339500
2018-05-23,4.39,4.58,4.0,4.11,975500
